terrai_cod,terrai_nom,etnia_nome,municipio_,uf_sigla,superficie,fase_ti,modalidade,reestudo_t,superfic_1,lon,lat
101,Acapuri de Cima,Kokama,Fonte Boa,AM,198850378,Declarada,Tradicionalmente ocupada,,,,
201,Acimã,Apurinã,Lábrea,AM,40686034,Regularizada,Tradicionalmente ocupada,,,,
401,Água Preta/Inari,Apurinã,Pauini,AM,1397636710,Regularizada,Tradicionalmente ocupada,,,,
501,Águas Belas,Pataxó,Prado,BA,11890649,Regularizada,Tradicionalmente ocupada,,,,
601,Aconã,Tingui-Botó,Traipu,AL,2677862,Regularizada,Reserva Indigena,,,,
701,Aldeia Kondá,Kaingang,Chapecó,SC,2300,Encaminhada RI,Reserva Indigena,,,,
801,Aldeia Limão Verde,Guarani Kaiowá,Amambaí,MS,6680796,Regularizada,Tradicionalmente ocupada,,,,
901,Aldeia Velha,Pataxó,Porto Seguro,BA,2001,Declarada,Tradicionalmente ocupada,,,,
1001,Alto Rio Guamá,Tembé e Timbira,"Garrafão do Norte, Nova Esperança do Piriá, Paragominas, Santa Luzia do Pará",PA,0,Regularizada,Tradicionalmente ocupada,,,,
1101,Alto Rio Negro,"Wanana, Karapanã, Baré, Barasána, Arapáso",Japurá e São Gabriel da Cachoeira,AM,79993811700,Regularizada,Tradicionalmente ocupada,,,,
1201,Alto Rio Purus,"Kaxinawá, Kulina Páno","Manoel Urbano, Santa Rosa do Purus",AC,2631298060,Regularizada,Tradicionalmente ocupada,,,,
1301,Alto Sepatini,Miránha,Lábrea,AM,260956979,Regularizada,Tradicionalmente ocupada,,,,
1401,Alto Tarauacá,Isolados,"Feijó, Jordão",AC,1426191070,Regularizada,Tradicionalmente ocupada,,,,
1501,Alto Turiaçu,Ka´apor,"Centro do Guilherme, Zé Doca, Araguanã, Maranhãozinho, Santa Luzia do Paruá, Centro Novo do Maranhão",MA,5305247420,Regularizada,Tradicionalmente ocupada,,,,
1601,Amambai,Guarani Kaiowá,Amambaí,MS,24295454,Regularizada,Tradicionalmente ocupada,,,,
1801,Anambé,Anambé,Moju,PA,78828329,Regularizada,Tradicionalmente ocupada,,,,
1901,Ananás,Makuxí,Amajari,RR,1769422,Regularizada,Tradicionalmente ocupada,,,,
2001,Andirá-Marau,Sateré-Mawé,"Parintins, Aveiro, Maués,Barreirinha, Itaituba",AM/PA,788528383,Regularizada,Tradicionalmente ocupada,,,,
2101,Aningal,Makuxí,Amajari,RR,76270391,Regularizada,Tradicionalmente ocupada,,,,
2201,Anta,Wapixana,Alto Alegre,RR,31738226,Regularizada,Tradicionalmente ocupada,,,,
2301,Apiaka/Kayabi,"Apiaká, Kaiabi",Juara,MT,1092453820,Regularizada,Tradicionalmente ocupada,,,,
2401,Apinayé,Apinayé,"Cachoeirinha, Itaguatins, São Bento do Tocantins, Tocantinopolis",TO,1419042090,Regularizada,Tradicionalmente ocupada,,,,
2501,Apipica,Múra,Careiro da Várzea,AM,6527562,Regularizada,Tradicionalmente ocupada,,,,
2601,Apucarana,Kaingang,Londrina,PR,5574945,Regularizada,Tradicionalmente ocupada,,,,
2701,Apurinã do Igarapé São João,Apurinã,Tapauá,AM,182324221,Regularizada,Tradicionalmente ocupada,,,,
